,file,initial_length,final_length,chars_removed,initial_tokens,final_tokens,token_removed,is_10k,status
264,10-K_or_equivalent-txt-preprocessed\ROG\ROG-finance-report-2023.txt,360238 char,332576 char,27662,44557 tokens,42416 tokens,2141,False,Success
262,10-K_or_equivalent-txt-preprocessed\ROG\ROG-finance-report-2022.txt,346861 char,320215 char,26646,42997 tokens,40964 tokens,2033,False,Success
263,10-K_or_equivalent-txt-preprocessed\ROG\ROG-finance-report-2021.txt,344916 char,318447 char,26469,42592 tokens,40603 tokens,1989,False,Success
261,10-K_or_equivalent-txt-preprocessed\ROG\ROG-finance-report-2020.txt,370584 char,341715 char,28869,45564 tokens,43382 tokens,2182,False,Success
260,10-K_or_equivalent-txt-preprocessed\ROG\ROG-finance-report-2019.txt,364885 char,336432 char,28453,45164 tokens,43023 tokens,2141,False,Success
259,10-K_or_equivalent-txt-preprocessed\ROG\ROG-finance-report-2018.txt,368440 char,339600 char,28840,45391 tokens,43145 tokens,2246,False,Success
258,10-K_or_equivalent-txt-preprocessed\ROG\ROG-finance-report-2017.txt,325056 char,299845 char,25211,40158 tokens,38207 tokens,1951,False,Success
257,10-K_or_equivalent-txt-preprocessed\ROG\ROG-finance-report-2016.txt,307872 char,284588 char,23284,38120 tokens,36348 tokens,1772,False,Success
256,10-K_or_equivalent-txt-preprocessed\ROG\ROG-finance-report-2015.txt,290079 char,268779 char,21300,35943 tokens,34391 tokens,1552,False,Success
254,10-K_or_equivalent-txt-preprocessed\ROG\ROG-finance-report-2014.txt,293393 char,271165 char,22228,36323 tokens,34625 tokens,1698,False,Success
255,10-K_or_equivalent-txt-preprocessed\ROG\ROG-finance-report-2013.txt,296242 char,273712 char,22530,36653 tokens,34946 tokens,1707,False,Success
252,10-K_or_equivalent-txt-preprocessed\ROG\ROG-finance-report-2012.txt,313896 char,289518 char,24378,38685 tokens,36783 tokens,1902,False,Success
253,10-K_or_equivalent-txt-preprocessed\ROG\ROG-finance-report-2011.txt,314540 char,290185 char,24355,38657 tokens,36796 tokens,1861,False,Success
251,10-K_or_equivalent-txt-preprocessed\ROG\ROG-finance-report-2010.txt,301412 char,277626 char,23786,36948 tokens,35122 tokens,1826,False,Success
249,10-K_or_equivalent-txt-preprocessed\ROG\ROG-finance-report-2006.txt,218627 char,201243 char,17384,26927 tokens,25634 tokens,1293,False,Success
250,10-K_or_equivalent-txt-preprocessed\ROG\ROG-finance-report-2005.txt,218775 char,201229 char,17546,26903 tokens,25572 tokens,1331,False,Success
248,10-K_or_equivalent-txt-preprocessed\ROG\ROG-annual-report-2023.txt,258669 char,237666 char,21003,30509 tokens,28458 tokens,2051,False,Success
247,10-K_or_equivalent-txt-preprocessed\ROG\ROG-annual-report-2022.txt,230840 char,208979 char,21861,28067 tokens,25766 tokens,2301,False,Success
246,10-K_or_equivalent-txt-preprocessed\ROG\ROG-annual-report-2021.txt,247905 char,225020 char,22885,29891 tokens,27649 tokens,2242,False,Success
245,10-K_or_equivalent-txt-preprocessed\ROG\ROG-annual-report-2020.txt,233377 char,212189 char,21188,28020 tokens,25974 tokens,2046,False,Success
244,10-K_or_equivalent-txt-preprocessed\ROG\ROG-annual-report-2019.txt,230219 char,209789 char,20430,27815 tokens,25818 tokens,1997,False,Success
243,10-K_or_equivalent-txt-preprocessed\ROG\ROG-annual-report-2018.txt,229361 char,209045 char,20316,27750 tokens,25746 tokens,2004,False,Success
242,10-K_or_equivalent-txt-preprocessed\ROG\ROG-annual-report-2017.txt,217310 char,198134 char,19176,26067 tokens,24249 tokens,1818,False,Success
241,10-K_or_equivalent-txt-preprocessed\ROG\ROG-annual-report-2016.txt,243095 char,221898 char,21197,29234 tokens,27170 tokens,2064,False,Success
240,10-K_or_equivalent-txt-preprocessed\ROG\ROG-annual-report-2015.txt,274806 char,251090 char,23716,33021 tokens,30719 tokens,2302,False,Success
239,10-K_or_equivalent-txt-preprocessed\ROG\ROG-annual-report-2014.txt,311555 char,284452 char,27103,37626 tokens,34953 tokens,2673,False,Success
236,10-K_or_equivalent-txt-preprocessed\ROG\ROG-annual-report-2013.txt,267580 char,244929 char,22651,33065 tokens,30662 tokens,2403,False,Success
237,10-K_or_equivalent-txt-preprocessed\ROG\ROG-annual-report-2012.txt,290204 char,264285 char,25919,36319 tokens,33239 tokens,3080,False,Success
235,10-K_or_equivalent-txt-preprocessed\ROG\ROG-annual-report-2011.txt,297870 char,273660 char,24210,36216 tokens,33763 tokens,2453,False,Success
234,10-K_or_equivalent-txt-preprocessed\ROG\ROG-annual-report-2010.txt,315794 char,308427 char,7367,16592 tokens,15629 tokens,963,False,Success
231,10-K_or_equivalent-txt-preprocessed\ROG\ROG-annual-report-2009.txt,274636 char,267186 char,7450,14808 tokens,13686 tokens,1122,False,Success
238,10-K_or_equivalent-txt-preprocessed\ROG\ROG-annual-report-2008.txt,513799 char,473706 char,40093,62419 tokens,58864 tokens,3555,False,Success
233,10-K_or_equivalent-txt-preprocessed\ROG\ROG-annual-report-2007.txt,247679 char,228376 char,19303,30232 tokens,28791 tokens,1441,False,Success
230,10-K_or_equivalent-txt-preprocessed\ROG\ROG-annual-report-2006.txt,205845 char,189279 char,16566,24987 tokens,23288 tokens,1699,False,Success
229,10-K_or_equivalent-txt-preprocessed\ROG\ROG-annual-report-2005.txt,218326 char,200392 char,17934,26503 tokens,24655 tokens,1848,False,Success
232,10-K_or_equivalent-txt-preprocessed\ROG\ROG-annual-report-2004.txt,284832 char,262555 char,22277,35199 tokens,33186 tokens,2013,False,Success
227,10-K_or_equivalent-txt-preprocessed\ROG\ROG-annual-report-2003.txt,267249 char,247118 char,20131,32916 tokens,31179 tokens,1737,False,Success
225,10-K_or_equivalent-txt-preprocessed\ROG\ROG-annual-report-2002.txt,235525 char,217775 char,17750,28920 tokens,27314 tokens,1606,False,Success
226,10-K_or_equivalent-txt-preprocessed\ROG\ROG-annual-report-2001.txt,215029 char,198649 char,16380,26115 tokens,24749 tokens,1366,False,Success
223,10-K_or_equivalent-txt-preprocessed\ROG\ROG-annual-report-2000.txt,179120 char,165811 char,13309,21843 tokens,20743 tokens,1100,False,Success
228,10-K_or_equivalent-txt-preprocessed\ROG\ROG-annual-finance-report-2009.txt,565966 char,535890 char,30076,50344 tokens,47509 tokens,2835,False,Success
224,10-K_or_equivalent-txt-preprocessed\MRK\MRK_2023_10-K.txt,418683 char,383970 char,34713,49250 tokens,46205 tokens,3045,False,Success
222,10-K_or_equivalent-txt-preprocessed\MRK\MRK_2022_10-K.txt,418442 char,383430 char,35012,49319 tokens,46198 tokens,3121,False,Success
221,10-K_or_equivalent-txt-preprocessed\MRK\MRK_2021_10-K.txt,428517 char,392023 char,36494,50936 tokens,47486 tokens,3450,False,Success
220,10-K_or_equivalent-txt-preprocessed\MRK\MRK_2020_10-K.txt,409531 char,376089 char,33442,48430 tokens,45615 tokens,2815,False,Success
218,10-K_or_equivalent-txt-preprocessed\MRK\MRK_2019_10-K.txt,380729 char,349682 char,31047,44986 tokens,42402 tokens,2584,False,Success
219,10-K_or_equivalent-txt-preprocessed\MRK\MRK_2018_10-K.txt,399581 char,367322 char,32259,47280 tokens,44649 tokens,2631,False,Success
217,10-K_or_equivalent-txt-preprocessed\MRK\MRK_2017_10-K.txt,391207 char,359511 char,31696,46231 tokens,43624 tokens,2607,False,Success
216,10-K_or_equivalent-txt-preprocessed\MRK\MRK_2016_10-K.txt,392625 char,360524 char,32101,46608 tokens,43978 tokens,2630,False,Success
215,10-K_or_equivalent-txt-preprocessed\MRK\MRK_2015_10-K.txt,420478 char,386371 char,34107,49903 tokens,47021 tokens,2882,False,Success
214,10-K_or_equivalent-txt-preprocessed\MRK\MRK_2014_10-K.txt,415237 char,381231 char,34006,49343 tokens,46458 tokens,2885,False,Success
213,10-K_or_equivalent-txt-preprocessed\MRK\MRK_2013_10-K.txt,403739 char,370736 char,33003,47973 tokens,45134 tokens,2839,False,Success
211,10-K_or_equivalent-txt-preprocessed\MRK\MRK_2012_10-K.txt,405517 char,372788 char,32729,48207 tokens,45423 tokens,2784,False,Success
210,10-K_or_equivalent-txt-preprocessed\MRK\MRK_2011_10-K.txt,436106 char,400888 char,35218,51987 tokens,48974 tokens,3013,False,Success
208,10-K_or_equivalent-txt-preprocessed\MRK\MRK_2010_10-K.txt,467897 char,430235 char,37662,55639 tokens,52479 tokens,3160,False,Success
212,10-K_or_equivalent-txt-preprocessed\MRK\MRK_2009_10-K.txt,567846 char,521875 char,45971,68096 tokens,64272 tokens,3824,False,Success
207,10-K_or_equivalent-txt-preprocessed\MRK\MRK_2008_10-K_Schering.txt,338369 char,310862 char,27507,39111 tokens,36766 tokens,2345,False,Success
209,10-K_or_equivalent-txt-preprocessed\MRK\MRK_2008_10-K.txt,648588 char,593410 char,55178,79234 tokens,73972 tokens,5262,False,Success
205,10-K_or_equivalent-txt-preprocessed\MRK\MRK_2007_10-K_Schering.txt,300385 char,276246 char,24139,34799 tokens,32716 tokens,2083,False,Success
203,10-K_or_equivalent-txt-preprocessed\MRK\MRK_2007_10-K.txt,436882 char,421741 char,15141,25813 tokens,24638 tokens,1175,False,Success
204,10-K_or_equivalent-txt-preprocessed\MRK\MRK_2006_10-K_Schering.txt,249395 char,229420 char,19975,28770 tokens,26995 tokens,1775,False,Success
206,10-K_or_equivalent-txt-preprocessed\MRK\MRK_2006_10-K.txt,537273 char,491283 char,45990,65984 tokens,61365 tokens,4619,False,Success
200,10-K_or_equivalent-txt-preprocessed\MRK\MRK_2005_10-K_Schering.txt,228837 char,209479 char,19358,27319 tokens,25499 tokens,1820,False,Success
201,10-K_or_equivalent-txt-preprocessed\MRK\MRK_2005_10-K.txt,331576 char,305539 char,26037,40275 tokens,37898 tokens,2377,False,Success
198,10-K_or_equivalent-txt-preprocessed\MRK\MRK_2004_10-K_Schering.txt,207916 char,190205 char,17711,24768 tokens,23122 tokens,1646,False,Success
202,10-K_or_equivalent-txt-preprocessed\MRK\MRK_2004_10-K.txt,401639 char,368601 char,33038,49315 tokens,45924 tokens,3391,False,Success
196,10-K_or_equivalent-txt-preprocessed\MRK\MRK_2003_10-K_Schering.txt,210682 char,192451 char,18231,25210 tokens,23626 tokens,1584,False,Success
199,10-K_or_equivalent-txt-preprocessed\MRK\MRK_2003_10-K.txt,313990 char,287829 char,26161,37978 tokens,35419 tokens,2559,False,Success
194,10-K_or_equivalent-txt-preprocessed\MRK\MRK_2002_10-K_Schering.txt,70039 char,63858 char,6181,8460 tokens,7691 tokens,769,False,Success
197,10-K_or_equivalent-txt-preprocessed\MRK\MRK_2002_10-K.txt,249487 char,228976 char,20511,30327 tokens,28418 tokens,1909,False,Success
191,10-K_or_equivalent-txt-preprocessed\MRK\MRK_2001_10-K_Schering.txt,54696 char,49723 char,4973,6626 tokens,6027 tokens,599,False,Success
187,10-K_or_equivalent-txt-preprocessed\MRK\MRK_2000_10-K_Schering.txt,39213 char,35647 char,3566,4734 tokens,4283 tokens,451,False,Success
195,10-K_or_equivalent-txt-preprocessed\JNJ\JNJ_2023_10-K.txt,402417 char,368212 char,34205,48717 tokens,45305 tokens,3412,False,Success
192,10-K_or_equivalent-txt-preprocessed\JNJ\JNJ_2022_Health for Humanity Report.txt,349161 char,319755 char,29406,42041 tokens,39050 tokens,2991,False,Success
184,10-K_or_equivalent-txt-preprocessed\JNJ\JNJ_2022_Annual Report.txt,378994 char,376359 char,2635,7150 tokens,6940 tokens,210,False,Success
193,10-K_or_equivalent-txt-preprocessed\JNJ\JNJ_2022_10-K.txt,370242 char,340487 char,29755,44813 tokens,42086 tokens,2727,False,Success
190,10-K_or_equivalent-txt-preprocessed\JNJ\JNJ_2021_10-K.txt,315274 char,289756 char,25518,37633 tokens,35507 tokens,2126,False,Success
188,10-K_or_equivalent-txt-preprocessed\JNJ\JNJ_2020_Health for Humanity Report.txt,295598 char,270505 char,25093,35701 tokens,33372 tokens,2329,False,Success
181,10-K_or_equivalent-txt-preprocessed\JNJ\JNJ_2020_Annual Report.txt,369893 char,366322 char,3571,7850 tokens,7520 tokens,330,False,Success
189,10-K_or_equivalent-txt-preprocessed\JNJ\JNJ_2020_10-K.txt,359521 char,331054 char,28467,43414 tokens,40755 tokens,2659,False,Success
185,10-K_or_equivalent-txt-preprocessed\JNJ\JNJ_2019_10-K.txt,305658 char,281291 char,24367,36621 tokens,34526 tokens,2095,False,Success
186,10-K_or_equivalent-txt-preprocessed\JNJ\JNJ_2018_Health for Humanity Report.txt,339165 char,312017 char,27148,39888 tokens,37627 tokens,2261,False,Success
177,10-K_or_equivalent-txt-preprocessed\JNJ\JNJ_2018_Annual Report.txt,439388 char,437322 char,2066,10050 tokens,9875 tokens,175,False,Success
183,10-K_or_equivalent-txt-preprocessed\JNJ\JNJ_2018_10-K.txt,279025 char,256925 char,22100,33385 tokens,31551 tokens,1834,False,Success
180,10-K_or_equivalent-txt-preprocessed\JNJ\JNJ_2017_10-K.txt,256072 char,235907 char,20165,30586 tokens,28959 tokens,1627,False,Success
173,10-K_or_equivalent-txt-preprocessed\JNJ\JNJ_2016_Annual Report.txt,320163 char,317017 char,3146,6963 tokens,6724 tokens,239,False,Success
179,10-K_or_equivalent-txt-preprocessed\JNJ\JNJ_2016_10-K.txt,254856 char,234465 char,20391,30416 tokens,28691 tokens,1725,False,Success
178,10-K_or_equivalent-txt-preprocessed\JNJ\JNJ_2015_10-K.txt,267828 char,246822 char,21006,32260 tokens,30360 tokens,1900,False,Success
172,10-K_or_equivalent-txt-preprocessed\JNJ\JNJ_2014_Annual Report.txt,236815 char,233509 char,3306,5688 tokens,5474 tokens,214,False,Success
176,10-K_or_equivalent-txt-preprocessed\JNJ\JNJ_2014_10-K.txt,260712 char,240578 char,20134,31537 tokens,29719 tokens,1818,False,Success
175,10-K_or_equivalent-txt-preprocessed\JNJ\JNJ_2013_10-K.txt,256101 char,236361 char,19740,30868 tokens,29085 tokens,1783,False,Success
166,10-K_or_equivalent-txt-preprocessed\JNJ\JNJ_2012_Annual Report.txt,238532 char,237052 char,1480,4268 tokens,4173 tokens,95,False,Success
174,10-K_or_equivalent-txt-preprocessed\JNJ\JNJ_2012_10-K.txt,273109 char,251517 char,21592,32983 tokens,30953 tokens,2030,False,Success
170,10-K_or_equivalent-txt-preprocessed\JNJ\JNJ_2011_Annual Report.txt,259319 char,251509 char,7810,12529 tokens,11802 tokens,727,False,Success
171,10-K_or_equivalent-txt-preprocessed\JNJ\JNJ_2010_Annual Report.txt,238147 char,219367 char,18780,28544 tokens,26845 tokens,1699,False,Success
168,10-K_or_equivalent-txt-preprocessed\JNJ\JNJ_2009_Annual Report.txt,242406 char,234775 char,7631,13241 tokens,12483 tokens,758,False,Success
167,10-K_or_equivalent-txt-preprocessed\JNJ\JNJ_2008_Annual Report.txt,226079 char,208258 char,17821,27077 tokens,25493 tokens,1584,False,Success
169,10-K_or_equivalent-txt-preprocessed\JNJ\JNJ_2008_10-K.txt,271935 char,229452 char,42483,33090 tokens,27257 tokens,5833,False,Success
165,10-K_or_equivalent-txt-preprocessed\JNJ\JNJ_2007_10-K.txt,230489 char,199302 char,31187,25991 tokens,23620 tokens,2371,False,Success
163,10-K_or_equivalent-txt-preprocessed\JNJ\JNJ_2006_Annual Report.txt,248865 char,229252 char,19613,29974 tokens,28156 tokens,1818,False,Success
161,10-K_or_equivalent-txt-preprocessed\JNJ\JNJ_2006_10-K.txt,222007 char,194210 char,27797,24910 tokens,22883 tokens,2027,False,Success
